venial_sin	mortal_sin	
bad	good	
smoker	nonsmoker	
congruousness	incongruousness	
perfectibility	imperfectibility	
maximization	minimization	
cross-fertilization	self-fertilization	
unpredictability	predictability	
girl	boy	
living	dead	
high_tide	low_tide	
permissibility	impermissibility	
curableness	incurableness	
improbability	probability	
decorousness	indecorousness	
over-the-counter_medicine	prescription_medicine	
income	outgo	
power_mower	hand_mower	
continuant_consonant	stop_consonant	
resolution	preparation	
inconsideration	consideration	
oblique	nominative	
abstractness	concreteness	
heterodactyl_foot	zygodactyl_foot	
difficulty	ease	
female_offspring	male_offspring	
Anglophobia	Anglophilia	
unapproachability	approachability	
carelessness	carefulness	
aptness	inaptness	
nondevelopment	development	
hypertonicity	hypotonicity	
endotoxin	exotoxin	
enlightenment	unenlightenment	
paper_loss	paper_profit	
bad_person	good_person	
expert_witness	lay_witness	
slow_lane	fast_lane	
kindness	unkindness	
posteriority	priority	anteriority	
tractability	intractability	
responsibleness	irresponsibleness	
inaptness	aptness	
comprehensibility	incomprehensibility	
bear	bull	
disservice	service	
Anglican	Nonconformist	
appearance	disappearance	
generic_drug	brand-name_drug	
essentiality	inessentiality	
toadstool	mushroom	
introvert	extrovert	
congruity	incongruity	
unadaptability	adaptability	
rise	fall	
humility	conceit	pride	
distinctness	indistinctness	
trustiness	untrustiness	
constancy	inconstancy	
minor_surgery	major_surgery	
availability	unavailability	
heterozygosity	homozygosity	
unbecomingness	becomingness	
incomprehension	comprehension	
comprehension	incomprehension	
punctuality	tardiness	
nobleman	noblewoman	
uniformity	nonuniformity	
reduced_instruction_set_computer	complex_instruction_set_computer	
conductor	insulator	
reduced_instruction_set_computing	complex_instruction_set_computing	
compression	decompression	
generality	particularity	
embarrassment	disembarrassment	
licitness	illicitness	
driver	nondriver	
tightness	looseness	
respect	disrespect	
inaudibility	audibility	
judgment_in_rem	judgment_in_personam	
high_relief	low_relief	
conformism	nonconformism	
conformist	nonconformist	
untruthfulness	truthfulness	
concentricity	eccentricity	
nonequivalence	equivalence	
intelligence	stupidity	
movableness	immovableness	
ungraciousness	graciousness	
selfishness	unselfishness	
discourtesy	courtesy	
fearfulness	fearlessness	
noncitizen	citizen	
humaneness	inhumaneness	
unacceptability	acceptability	
disfluency	fluency	
overtime	regulation_time	
deactivation	activation	
lateness	earliness	
subscript	superscript	
inconspicuousness	conspicuousness	
untrustiness	trustiness	
liberality	illiberality	
happiness	sadness	unhappiness	
lead	deficit	
goodness	badness	evilness	
flexion	extension	
originality	unoriginality	
feasibility	infeasibility	
loudness	softness	
service	disservice	
dissuasion	persuasion	
increment	decrement	
good_guy	bad_guy	
major_surgery	minor_surgery	
rich	poor	
sensitivity	insensitivity	
unobtrusiveness	obtrusiveness	
union	disunion	separation	
hand_mower	power_mower	
seemliness	unseemliness	
homogeneity	heterogeneity	
insubordination	subordination	
inapplicability	applicability	
ratite	carinate	
nonproliferation	proliferation	
losings	winnings	
source_program	object_program	
intemperance	temperance	
civilian	serviceman	
unlikelihood	likelihood	
initiate	uninitiate	
illness	wellness	
ungodliness	godliness	
unworthiness	worthiness	
homeopathy	allopathy	
former	latter	
inflexibility	flexibility	
hypertension	hypotension	
ready-made	custom-made	
ascending_node	descending_node	
strong_point	weak_point	
past	future	
digitigrade_mammal	plantigrade_mammal	
follower	leader	
attendance	nonattendance	
negativity	positivity	
uncommonness	commonness	
euphemism	dysphemism	
undependability	dependability	
destructibility	indestructibility	
indecorum	decorum	
moderation	immoderation	
honor	dishonor	
maturity	immaturity	
flashback	flash-forward	
hypertonia	hypotonia	
deciduous_plant	evergreen_plant	
closing	opening	
inferiority	superiority	
ineligibility	eligibility	
unpersuasiveness	persuasiveness	
antagonist	agonist	synergist	
discontentment	contentment	
thoughtlessness	thoughtfulness	
secured_bond	unsecured_bond	
concave_polygon	convex_polygon	
soft_drug	hard_drug	
dabbling_duck	diving_duck	
categorem	syncategorem	
liberator	captor	
reliableness	unreliableness	
bad_luck	good_luck	
ingenuousness	disingenuousness	
night_game	day_game	
diffidence	confidence	
introversion	extraversion	ambiversion	
nonconformist	conformist	
applicability	inapplicability	
nonconformism	conformism	
agreeableness	disagreeableness	
non-volatile_storage	volatile_storage	
inopportuneness	opportuneness	
participation	nonparticipation	
injudiciousness	judiciousness	
maximum	minimum	
unfriendliness	friendliness	
ineffectiveness	effectiveness	
nonpayment	payment	
spuriousness	genuineness	
divergence	convergence	
divergency	convergency	
salubriousness	insalubriousness	
attractiveness	unattractiveness	
import	export	
dry-bulb_thermometer	wet-bulb_thermometer	
sympatry	allopatry	
assembly	disassembly	
innocence	guilt	
start	finish	
politeness	impoliteness	
conviction	acquittal	
outpatient	inpatient	
safety	danger	
consonant	vowel	
justice	injustice	
ill-being	well-being	
practicality	impracticality	
consistency	inconsistency	
imperceptibility	perceptibility	
deepness	shallowness	
point_of_apoapsis	point_of_periapsis	
accessibility	inaccessibility	
hypothyroidism	hyperthyroidism	
felicity	infelicity	
asynchronism	synchronism	
subtraction	addition	
tonicity	atonicity	
honorableness	dishonorableness	
destabilisation	stabilisation	
mortality	immortality	
badness	goodness	
inefficacy	efficacy	
uncheerfulness	cheerfulness	
loss	gain	
inconstancy	constancy	
universal	particular	
atheism	theism	
contraction	expansion	
discomposure	composure	
logicalness	illogicalness	
nativeness	foreignness	
yes	no	
appositeness	inappositeness	
nonworker	worker	
rural_area	urban_area	
inaction	action	
curliness	straightness	
illegality	legality	
evergreen_plant	deciduous_plant	
creativeness	uncreativeness	
insubstantiality	substantiality	
cognizance	incognizance	
sound	silence	
decriminalisation	criminalisation	
sleeping	waking	
decentralization	centralization	
unhappiness	happiness	
responsiveness	unresponsiveness	
radial_asymmetry	radial_symmetry	
defence	offence	
beginning	middle	end	ending	
conventionality	unconventionality	
immaturity	maturity	
express	local	
indispensableness	dispensableness	
inessentiality	essentiality	
development	nondevelopment	
maleness	femaleness	
stabilization	destabilization	
source	sink	
dependability	undependability	
decision	indecision	
impermeability	permeability	
contentment	discontentment	
opportuneness	inopportuneness	
defendant	plaintiff	
southernness	northernness	
wet_fly	dry_fly	
egoism	altruism	
sentience	insentience	
active_trust	passive_trust	
incentive	disincentive	
synonym	antonym	
astigmatism	stigmatism	
electronic_mail	snail_mail	
good_weather	bad_weather	
indirectness	directness	
sorrow	joy	
straight_line	curve	
Heaven	Hell	
faithfulness	unfaithfulness	
female	male	
sensibility	insensibility	
abundance	scarcity	
powerfulness	powerlessness	
incongruousness	congruousness	
intransitivity	transitivity	
noncompliance	compliance	
tight_money	easy_money	
purposelessness	purposefulness	
potency	impotency	
potence	impotence	
medulla	cortex	
exotoxin	endotoxin	
infidelity	fidelity	
amateur	professional	
levity	gravity	
pronation	supination	
positiveness	negativeness	
trade_edition	text_edition	
nonalignment	alignment	
corruptness	incorruptness	
palpability	impalpability	
penetrability	impenetrability	
indirect_discourse	direct_discourse	
disequilibrium	equilibrium	
nadir	zenith	
text_edition	trade_edition	
periselene	aposelene	
efficiency	inefficiency	
unceremoniousness	ceremoniousness	
granter	withholder	
intangibility	tangibility	
weed	cultivated_plant	
inability	ability	
competition	cooperation	
errancy	inerrancy	
wholesale	retail	
maleficence	beneficence	
winnings	losings	
uptick	downtick	
eating_apple	cooking_apple	
wife	husband	
tragedy	comedy	
uninterestingness	interestingness	
libertarian	necessitarian	
closed_chain	open_chain	
activator	inhibitor	
prescription_medicine	over-the-counter_medicine	
closeness	openness	
faintheartedness	stoutheartedness	
fame	infamy	
extensor	flexor	
favorableness	unfavorableness	
demand	supply	
pointedness	unpointedness	
question	answer	
descriptive_linguistics	prescriptive_linguistics	
syncategorem	categorem	
solidity	porosity	hollowness	
gracefulness	awkwardness	
peace	war	
wildness	tameness	
friendliness	unfriendliness	
multidimensional_language	one-dimensional_language	
falsity	truth	
inexperience	experience	
hypersomnia	insomnia	
youngness	oldness	
ceremoniousness	unceremoniousness	
compressibility	incompressibility	
enfranchisement	disenfranchisement	
Arabic_numeral	Roman_numeral	
neurotic_depression	psychotic_depression	
son	daughter	
fear	fearlessness	
local	express	
disembarrassment	embarrassment	
ability	inability	
opening	closing	
emotional_person	unemotional_person	
unconventionality	conventionality	
conclusiveness	inconclusiveness	
employment	unemployment	
egalitarian	elitist	
relevance	irrelevance	
odd-toed_ungulate	even-toed_ungulate	
tardiness	punctuality	
narrow-mindedness	broad-mindedness	
unmindfulness	mindfulness	
perilune	apolune	
downtick	uptick	
exogamy	endogamy	
hypoparathyroidism	hyperparathyroidism	
