fawn	dun.n.02	fawn.n.02	
Rameses_II	rameses_ii.n.01	
lepidoptery	lepidopterology.n.01	
kinase	kinase.n.01	
face_soap	toilet_soap.n.01	
lube	lubricant.n.01	
Plantago_lanceolata	english_plantain.n.01	
brussels_sprouts	brussels_sprout.n.01	brussels_sprouts.n.01	
snowdrop_tree	silver-bell_tree.n.01	
plate	home_plate.n.01	plate.n.12	plate.n.11	plate.n.10	plate.n.08	plate.n.09	plate.n.14	plate.n.04	plate.n.05	plate.n.06	plate.n.07	plate.n.13	plate.n.02	plate.n.03	denture.n.01	
root_climber	root_climber.n.01	
direct_quotation	direct_discourse.n.01	
pichiciago	pichiciago.n.01	
bulgur_pilaf	bulgur_pilaf.n.01	
curassow	curassow.n.01	
cape_yellowwood	cape_yellowwood.n.01	
unskillfulness	unskillfulness.n.01	
elastic_tissue	elastic_tissue.n.01	
king_salmon	chinook.n.05	chinook_salmon.n.01	
William_Henry_Beveridge	beveridge.n.01	
genus_Vicia	vicia.n.01	
clumsiness	awkwardness.n.04	awkwardness.n.03	awkwardness.n.01	
caribe	piranha.n.02	
genus_Mimosa	genus_mimosa.n.01	
pudding_stone	pudding_stone.n.01	
mountain_clematis	purple_clematis.n.01	
mast_cell	mast_cell.n.01	
platy	platy.n.01	
Sun_Valley	sun_valley.n.01	
droning	monotone.n.01	
Nymphaea_stellata	blue_lotus.n.01	
superfamily	superfamily.n.01	
rivulus	rivulus.n.01	
jaguar	jaguar.n.01	
Cassegrainian_telescope	cassegrainian_telescope.n.01	
vena_peroneus	peroneal_vein.n.01	
acceleration_unit	acceleration_unit.n.01	
Department_of_Health_Education_and_Welfare	department_of_health_education_and_welfare.n.01	
patch	eyepatch.n.01	mend.n.01	while.n.01	bandage.n.01	temporary_hookup.n.01	spot.n.05	plot.n.02	patch.n.05	patch.n.03	
Solanum_elaeagnifolium	trompillo.n.01	
John_Speke	speke.n.01	
tough_luck	misfortune.n.02	
au_revoir	adieu.n.01	
Asparagus_officinales	asparagus.n.01	
nervous_tissue	nervous_tissue.n.01	
heirloom	heirloom.n.02	heirloom.n.01	
turkey_buzzard	buzzard.n.01	
intestinal_bypass	intestinal_bypass.n.01	
Anderson	anderson.n.01	anderson.n.03	anderson.n.02	anderson.n.05	anderson.n.04	
verboseness	verboseness.n.01	
congenital_disease	genetic_disease.n.01	
Joseph_Pulitzer	pulitzer.n.01	
claystone	claystone.n.01	
color_code	color_code.n.01	
miserliness	miserliness.n.01	
naval_division	division.n.10	
mid-May	mid-may.n.01	
kauri_resin	kauri.n.01	
epithelium	epithelium.n.01	
European_perch	european_perch.n.01	
Rock	rock_candy.n.01	rock.n.07	rock.n.04	rock.n.02	rock.n.03	rock.n.01	rock_'n'_roll.n.01	
shining_willow	shining_willow.n.01	
loti	loti.n.01	
psychrometer	psychrometer.n.01	
Dexedrine	dextroamphetamine_sulphate.n.01	
Hieronymus_Bosch	bosch.n.01	
lota	lota.n.01	lota.n.02	
barograph	barograph.n.01	
Marine_Corps_Intelligence_Activity	marine_corps_intelligence_activity.n.01	
ire	anger.n.01	wrath.n.02	
Fringilla_coelebs	chaffinch.n.01	
genus_Asphodeline	asphodeline.n.01	
nature	nature.n.04	nature.n.05	nature.n.02	nature.n.03	nature.n.01	
weather_radar	weather_radar.n.01	
optimist	optimist.n.01	
Brassica_rapa_ruvo	broccoli_raab.n.01	
family_Littorinidae	littorinidae.n.01	
accaroid_resin	acaroid_resin.n.01	
half_life	half_life.n.01	
pharisee	pharisee.n.02	pharisee.n.01	
extent	extent.n.01	extent.n.02	
bushbuck	bushbuck.n.01	
Antivert	meclizine.n.01	
inflorescence	blossoming.n.01	inflorescence.n.02	
Verey_pistol	very_pistol.n.01	
airflow	airflow.n.01	
parts_bin	parts_bin.n.01	
Roman_wormwood	roman_wormwood.n.01	roman_wormwood.n.02	
Ipomoea	ipomoea.n.01	
Lucretia_Coffin_Mott	mott.n.01	
mulberry_family	moraceae.n.01	
genus_Dichondra	genus_dichondra.n.01	
Helianthus_annuus	common_sunflower.n.01	
musical_soiree	musical_soiree.n.01	
yellow_honeysuckle	yellow_honeysuckle.n.01	yellow_honeysuckle.n.02	
white_heather	white_heather.n.01	
shellac_wax	shellac_wax.n.01	
propitiousness	auspiciousness.n.01	
twenty-three	twenty-three.n.01	
HND	higher_national_diploma.n.01	
video_digitizing	video_digitizing.n.01	
fondler	fondler.n.02	petter.n.01	
Pluteus_magnus	pluteus_magnus.n.01	
difference_threshold	difference_threshold.n.01	
Charles_the_Bald	charles.n.03	
gopher	gopher.n.04	goffer.n.01	minnesotan.n.01	ground_squirrel.n.02	gopher_tortoise.n.01	
Hirundo_rustica	barn_swallow.n.01	
sheep_laurel	sheep_laurel.n.01	
gambrel	gambrel.n.01	
escalade	escalade.n.01	
humming	humming.n.02	hum.n.03	
captain's_chair	captain's_chair.n.01	
sweetsop_tree	sweetsop.n.01	
musk_clover	musk_clover.n.01	
white_sanicle	white_snakeroot.n.01	
Sulamyd	sulfacetamide.n.01	
Lysichitum	lysichiton.n.01	
order_Psocoptera	psocoptera.n.01	
tautness	tightness.n.05	tension.n.02	
triviality	technicality.n.01	pettiness.n.02	triviality.n.03	
Mahdism	mahdism.n.01	
creeping_wintergreen	teaberry.n.01	
grotto	grotto.n.01	
Feodor_Mikhailovich_Dostoevsky	dostoyevsky.n.01	
musculus_trapezius	trapezius.n.01	
muck	sludge.n.02	droppings.n.01	
Mahdist	mahdist.n.01	
side_street	side_street.n.01	
bitewing	bitewing.n.01	
electric_storm	thunderstorm.n.01	
tax_deduction	tax_write-off.n.01	
sterilizer	autoclave.n.01	
splayfoot	flatfoot.n.02	
fry	child.n.01	fry.n.01	fry.n.02	
genus_Chamaeleon	chamaeleo.n.01	
Feodor_Mikhailovich_Dostoevski	dostoyevsky.n.01	
Jatropha_urens	spurge_nettle.n.01	
talipot_palm	talipot.n.01	
spiv	spiv.n.01	
spit	spit.n.04	spit.n.01	spit.n.03	saliva.n.01	
alpenstock	alpenstock.n.01	
boardroom	boardroom.n.01	
fibroblast	fibroblast.n.01	
Asian_American	asian_american.n.01	
corpus_luteum	corpus_luteum.n.01	
sonic_boom	sonic_boom.n.01	
spik	spic.n.01	
regur	regur.n.01	
broad_buckler-fern	broad_buckler-fern.n.01	
spin	spin.n.03	spin.n.02	spin.n.01	spin.n.05	tailspin.n.02	
Indo-Hittite	indo-european.n.02	
wildcat	beast.n.02	wildcat.n.03	wildcat_well.n.01	
Zaire_River	congo.n.02	
tularaemia	tularemia.n.01	
by-election	by-election.n.01	
Cali	cali.n.01	
Short's_aster	short's_aster.n.01	
